no,tdlat,tdlng,no2,tolat,tolng
517,13.69991474424345,100.74206577013597,517,13.69932079,100.7420502
518,13.699893897052903,100.74237690636988,518,-27.38042641,153.1310425
42,13.6837368,100.7589493,42,13.6837368,100.7589493
43,-6.111719608,106.6621857,43,-6.111719608,106.6621857
44,13.66309834,100.7534866,44,13.66309834,100.7534866
47,-37.01495563632501,174.775787540901,47,13.69299603,100.7573395
48,13.69299603,100.7573395,48,13.69299603,100.7573395
50,-37.01616139592558,174.77075035247765,50,48.11772156,16.56591225
51,-37.016463368246704,174.77076376352224,51,48.11772156,16.56591225


